time,sensor_id,port,axes_x,axes_y,axes_z,temperature
11:52.8,30,1,0,0,0,0
11:52.8,31,1,0,0,0,0
11:52.8,30,2,-1744,722,3712,0
11:52.8,30,1,0,0,0,0
11:52.8,31,1,0,0,0,0
11:52.8,30,2,-1728,834,3728,0
11:52.8,73,1,0,0,0,0
11:52.8,73,2,0,0,0,8588
11:52.8,105,1,5671,2670,-14587,0
11:52.8,29,1,400,-3568,-1776,0
11:52.8,29,2,208,-192,3968,0
11:52.8,30,1,0,0,0,0
11:52.8,31,1,0,0,0,0
11:52.8,29,1,464,-3568,-1776,0
11:52.8,29,2,256,-192,4016,0
11:52.8,30,1,0,0,0,0
11:52.8,31,1,0,0,0,0
11:52.8,105,1,5634,2916,-14791,0
11:52.9,29,1,464,-3616,-1920,0
11:52.9,29,2,144,-192,4000,0
11:52.9,30,1,0,0,0,0
11:52.9,31,1,0,0,0,0
11:52.9,30,2,-1824,786,3632,0
11:52.9,31,2,0,0,0,0
11:52.9,73,1,0,0,0,0
11:53.0,73,2,0,0,0,8586
11:53.0,105,1,5375,2898,-14727,0
11:53.0,105,1,5679,2930,-14968,0
11:53.0,29,2,288,-144,4032,0
11:53.0,30,1,0,0,0,0
11:53.0,31,1,0,0,0,0
11:53.0,30,2,-1760,818,3664,0
11:53.0,31,2,0,0,0,0
11:53.1,73,1,0,0,0,0
11:53.1,30,2,-1712,738,3760,0
11:53.1,31,2,0,0,0,0
11:53.1,73,1,0,0,0,0
11:53.1,73,2,0,0,0,8590
11:53.1,105,1,5383,2686,-14186,0
11:53.1,29,1,496,-3680,-1872,0
11:53.1,29,2,240,-176,4032,0
11:53.1,30,1,0,0,0,0
11:53.1,31,1,0,0,0,0
11:53.1,30,2,-1744,722,3552,0
11:53.1,31,2,0,0,0,0
11:53.1,73,1,0,0,0,0
11:53.1,73,2,0,0,0,8590
11:53.1,105,1,5631,2998,-14566,0
11:53.2,29,1,432,-3776,-1728,0
11:53.2,29,2,256,-208,3872,0
11:53.2,30,1,0,0,0,0
11:53.2,31,1,0,0,0,0
11:53.2,30,2,-1712,658,3728,0
11:53.2,31,2,0,0,0,0
11:53.2,73,1,0,0,0,0
11:53.2,30,2,-1792,802,3792,0
11:53.2,31,2,0,0,0,0
11:53.2,73,1,0,0,0,0
11:53.2,73,2,0,0,0,8591
11:53.2,105,1,5645,2860,-14841,0
11:53.3,29,1,384,-3680,-1808,0
11:53.3,29,2,128,-144,3872,0
11:53.3,30,1,0,0,0,0
11:53.3,31,1,0,0,0,0
11:53.3,30,2,-1776,754,3664,0
11:53.3,31,2,0,0,0,0
11:53.3,73,1,0,0,0,0
11:53.3,73,2,0,0,0,8591
11:53.3,105,1,5323,2650,-14431,0
11:53.4,29,1,480,-3664,-1824,0
11:53.4,29,2,96,-192,3904,0
11:53.4,30,1,0,0,0,0
11:53.4,31,1,0,0,0,0
11:53.4,30,2,-1744,690,3648,0
11:53.4,31,2,0,0,0,0
11:53.4,73,1,0,0,0,0
11:53.4,73,2,0,0,0,8591
