time,x,y,z
46.620153,-1232.0,754.0,4064.0
46.682891000000005,-1312.0,754.0,3824.0
46.761013000000005,-1328.0,706.0,3808.0
46.791972,-1296.0,754.0,3872.0
46.807574,-1328.0,706.0,3984.0
46.917295,-1344.0,754.0,3968.0
46.979716,-1328.0,690.0,3856.0
46.979716,-1232.0,706.0,3936.0
47.042213000000004,-1408.0,770.0,3936.0
47.073399,-1296.0,674.0,3984.0
47.260904000000004,-1248.0,786.0,3872.0
47.342510000000004,-1296.0,802.0,4000.0
47.499122,-1264.0,818.0,3968.0
47.530267,-1232.0,818.0,3888.0
47.576828000000006,-1312.0,914.0,3904.0
47.655378000000006,-1168.0,578.0,3824.0
47.795855,-1376.0,770.0,3984.0
47.889219000000004,-1296.0,786.0,3952.0
47.998847000000005,-1296.0,738.0,4096.0
48.107924000000004,-1248.0,818.0,3968.0
48.172981,-1296.0,818.0,3824.0
48.2355,-1328.0,706.0,3952.0
48.345115,-1328.0,706.0,3968.0
48.567503,-1360.0,898.0,4000.0
48.598498000000006,-1328.0,738.0,3888.0
48.865538,-1360.0,818.0,3984.0
48.928005000000006,-1328.0,706.0,3904.0
48.959245,-1312.0,786.0,3904.0
48.990437,-1232.0,658.0,3920.0
49.115076,-1392.0,674.0,3792.0
49.162251000000005,-1264.0,754.0,3984.0
49.208804,-1312.0,706.0,3920.0
49.271526,-1328.0,722.0,3936.0
49.365013000000005,-1232.0,946.0,4048.0
49.42750100000001,-1376.0,738.0,3888.0
49.505973000000004,-1296.0,818.0,4000.0
49.708687000000005,-1328.0,706.0,3952.0
49.724309000000005,-1264.0,626.0,3904.0
49.787106,-1280.0,706.0,3824.0
49.880937,-1312.0,642.0,3872.0
50.005488,-1296.0,898.0,3872.0
50.068271,-1264.0,786.0,3920.0
50.1464,-1264.0,802.0,3968.0
50.318287000000005,-1328.0,738.0,4048.0
50.396306,-1344.0,722.0,3888.0
50.442890000000006,-1280.0,706.0,3776.0
