frequency,penh,rt,mv,te,ti,eip
100.0665943,0.264594586,0.2822436,173.9636236,0.3537629,0.2458378,8
98.64574193,0.434719299,0.2644819,159.2290227,0.368,0.2402371,6
94.45202947,0.310276308,0.2852898,162.827616,0.3772431,0.258,8
96.0816925,0.247497152,0.305303,180.1954156,0.3737117,0.2507569,6
90.52983946,0.424722585,0.2959347,170.146933,0.4084766,0.2542883,8
98.93400261,0.21814283,0.2871492,179.7933422,0.3529415,0.2535234,8
99.49283527,0.306276942,0.2746846,183.0643338,0.346,0.2570585,8
99.63525195,0.373907944,0.2654575,183.5012995,0.3481965,0.254,8
96.18348732,0.40226427,0.2832608,175.1608952,0.3720042,0.2518035,6
98.13934347,0.303200042,0.2863276,173.7209515,0.3653798,0.2459958,6
91.10605945,0.441764439,0.2745052,168.2834933,0.3999529,0.2586202,8
95.04729157,0.373363787,0.2772873,162.9274527,0.3872176,0.2440471,8
101.6926573,0.345242159,0.2593109,182.823987,0.3432307,0.2467824,6
120.0484756,0.109516531,0.2246824,219.1441217,0.2490288,0.2507693,6
118.4731418,0.284052927,0.209549,212.446825,0.2714727,0.2349712,8
118.6222969,0.375258633,0.2063084,215.1157691,0.2892798,0.2165273,8
108.5243135,0.361140832,0.2284271,173.8761552,0.3201513,0.2327202,6
115.6756509,0.234223816,0.2307777,181.276328,0.280843,0.2378487,8
106.6517639,0.246701318,0.2676121,188.5770644,0.3414216,0.221157,8
96.64819236,0.328135955,0.2865696,161.1443621,0.3842299,0.2365784,6
95.84799275,0.286079259,0.2927569,154.9500529,0.4022211,0.2237701,6
95.94510405,0.29296022,0.2935971,168.3111209,0.3855787,0.2397789,6
101.2600121,0.220354549,0.2878031,185.526823,0.3441127,0.2484213,6
97.8315634,0.391404153,0.2704611,177.6908657,0.3614117,0.2518873,8
102.1305975,0.355067169,0.2557094,190.1048941,0.3388948,0.2485883,8
95.06468518,0.470200439,0.2643852,169.0291916,0.372044,0.2591052,6
93.46434958,0.464203072,0.2627106,162.7711706,0.38,0.261956,6
101.8381964,0.229343143,0.2769929,184.5585291,0.3451699,0.244,6
102.0870854,0.308044983,0.250595,179.7378798,0.3289034,0.2588301,6
109.9650311,0.320254086,0.2415942,199.8202568,0.3205314,0.2250966,8
103.3304257,0.367312838,0.2427002,176.6383215,0.3331929,0.2474686,8
106.5068212,0.279027837,0.244885,186.2236279,0.3125371,0.2508071,6
98.61062559,0.291481595,0.2744446,176.7572024,0.3509908,0.2574629,6
92.7631164,0.403210052,0.2863142,161.3560722,0.3917996,0.2550092,6
100.6373025,0.339278236,0.2654229,174.9252335,0.346,0.2502004,6
100.524217,0.468248281,0.2410577,180.7751051,0.3468711,0.25,6
107.5594965,0.275755294,0.2440645,187.0390931,0.3147019,0.2431289,6
136.8065476,0.459993583,0.1639588,197.9241507,0.2550171,0.1835584,6
129.1979649,0.166795168,0.2172104,231.3409713,0.2654207,0.1989829,6
122.3645481,0.319838613,0.2076539,195.6776673,0.2777588,0.2125793,8
106.0234202,0.418236357,0.2328196,164.3602299,0.3356715,0.2302412,6
107.3043694,0.542347542,0.2125231,149.785896,0.3268286,0.2323285,6
95.36352097,0.421550107,0.2672364,148.0279992,0.386,0.2431714,8
115.2683495,0.1932062,0.2455076,179.964495,0.3025245,0.218,10
108.4058825,0.403749447,0.2393455,176.9709875,0.326,0.2274755,8
110.7116879,0.248764094,0.2443971,187.0465632,0.3139482,0.228,6
113.1053682,0.309185336,0.2354311,178.6702648,0.320427,0.2100518,6
106.1496189,0.241190529,0.2749979,183.2936324,0.3556669,0.209573,6
110.1992936,0.214927727,0.2499004,175.9080994,0.310135,0.2343331,8
103.5313151,0.358377195,0.2537304,172.5588401,0.3376698,0.241865,6
97.53837525,0.412166853,0.2739356,169.6868217,0.3748123,0.2403302,6
82.36095926,0.288669099,0.3769161,143.2918383,0.4733128,0.2551877,6
98.50220826,0.442067663,0.2652663,172.2273955,0.3504362,0.2586872,6
99.08121985,0.381200701,0.2700406,179.143175,0.356,0.2495638,8
92.47530023,0.294712266,0.3010675,167.6673167,0.3888219,0.26,6
86.90357353,0.355883749,0.3281942,167.3469185,0.4612423,0.2291781,6
87.89951796,0.496141682,0.2965987,155.767077,0.4338399,0.2487577,6
88.09747339,0.387326771,0.317048,157.4063751,0.4429037,0.2381601,6
90.21198463,0.36549363,0.3125287,158.9714974,0.4160038,0.2490963,6
94.58620113,0.344789823,0.2873148,162.3792846,0.3943458,0.2399962,8
101.2139261,0.303430284,0.2559638,171.1159568,0.3351496,0.2576542,6
103.2439952,0.261200845,0.2621008,184.2347067,0.3342972,0.2468504,8
100.6154985,0.270712759,0.2832728,182.5263948,0.3606268,0.2357028,8
96.63944387,0.324609613,0.2759591,166.0955043,0.3634913,0.2573732,8
99.83296281,0.362106451,0.2648321,167.5337158,0.3464952,0.2545087,6
97.32994755,0.348555493,0.2757817,171.3177675,0.360955,0.2555048,8
96.26325304,0.256947009,0.3023137,172.1705018,0.3722458,0.251045,8
117.7037874,0.28429949,0.2187756,219.7027701,0.28,0.2297542,6
117.2860707,0.296403637,0.2186986,192.6861979,0.2875697,0.224,8
114.5631973,0.214724706,0.2485998,194.5673775,0.3152981,0.2084303,6
106.8276964,0.407586124,0.2359835,169.4647389,0.3209502,0.2407019,8
106.1254739,0.29096399,0.2508651,165.0306913,0.3283187,0.2370498,6
106.9333632,0.213142097,0.260676,169.6841188,0.3234158,0.2376813,6
105.9900825,0.258226947,0.2663568,168.9768558,0.3315065,0.2345842,6
104.4398239,0.21239441,0.2770688,182.2198595,0.338,0.2364935,6
106.0070671,0.27998841,0.2515357,171.2554353,0.328,0.238,8
125.6373741,0.128621547,0.2054734,220.5163562,0.2335649,0.244,6
116.6172372,0.195570346,0.2587267,183.7273461,0.3480686,0.1664351,8
96.02442861,0.243833276,0.3166534,171.7763113,0.3969096,0.2279314,6
97.59795174,0.400614164,0.2636357,155.2050232,0.3636766,0.2510904,8
98.23240608,0.428810967,0.2460924,153.508636,0.350473,0.2603234,8
98.95258687,0.375860523,0.2614151,159.1378342,0.356824,0.249527,8
92.1726806,0.478543246,0.2826963,160.8729083,0.4017761,0.249176,6
95.6654312,0.355808244,0.2782118,159.107992,0.3749619,0.2522239,6
94.61098957,0.35530238,0.283363,159.4661419,0.4011377,0.2330381,6
109.521008,0.149616638,0.2517479,187.9557184,0.2989778,0.2488623,8
99.90470756,0.308636294,0.2716487,176.7584253,0.3535501,0.2470222,8
101.165528,0.486159579,0.2362147,164.074433,0.3406375,0.2524499,8
94.13795132,0.288825797,0.3003346,161.8773415,0.384,0.2533625,6
99.73565066,0.319755843,0.2477417,145.0406947,0.3235903,0.278,8
116.9339224,0.131531429,0.225311,206.9165212,0.2507006,0.2624097,6
107.6620574,0.413961766,0.2308916,180.7999395,0.332,0.2252994,8
97.63606807,0.445863432,0.2567369,160.8367687,0.358527,0.256,6
108.2581285,0.209812482,0.2640572,173.5168417,0.3367579,0.217473,8
98.95190146,0.248394092,0.2797941,162.5293361,0.3611131,0.2452421,6
101.8871366,0.172171436,0.2864013,167.2424416,0.34,0.2488869,6
101.8440218,0.207731764,0.2870792,185.8229298,0.3591362,0.23,6
109.783443,0.25300931,0.2530294,170.8871288,0.3256667,0.2208638,8
108.5361709,0.259425093,0.2620759,160.7329201,0.3544778,0.1983333,8
111.3415675,0.260485674,0.2440378,166.3738669,0.3233601,0.2155222,8
106.3710968,0.195694348,0.276093,179.3878788,0.3374231,0.2266399,8
115.5543915,0.103759231,0.2666926,193.926139,0.3006591,0.2185769,6
117.6709853,0.167309701,0.2748838,165.6561372,0.3525554,0.1573409,8
116.9802029,0.063544445,0.3383281,238.6857119,0.376,0.1369073,8
72.60727271,0.70783972,0.329276,101.5890399,0.6107426,0.2156209,8
108.461007,0.108573644,0.2989098,153.257371,0.3499368,0.2032574,6
98.4314134,0.114995256,0.350924,139.8108252,0.4154983,0.1940632,6
68.88907412,0.124842597,0.5507847,104.4117183,0.6644637,0.2065017,6
111.1386076,0.142429663,0.2501698,139.463109,0.2943301,0.2455363,8
94.61010937,0.252167685,0.297168,115.7303123,0.4094055,0.2247762,8
96.28956197,0.155748169,0.3257484,137.1719092,0.408526,0.2145945,8
83.81771826,0.157412154,0.3904434,131.4186045,0.5183651,0.197474,8
89.01410206,0.144679667,0.3458776,126.4475117,0.4124156,0.2616349,8
121.1045706,0.637743811,0.1770066,169.3175949,0.296,0.1994396,8
